"""emp_no"",""dept_no"",""from_date"",""to_date"""
"11762,""d004"",""1995-08-04"",""1996-02-12"""
"11763,""d005"",""1997-04-18"",""9999-01-01"""
"11764,""d004"",""1991-12-16"",""9999-01-01"""
"11765,""d003"",""1991-07-04"",""9999-01-01"""
"11766,""d005"",""1987-10-27"",""9999-01-01"""
"11767,""d005"",""1986-12-19"",""9999-01-01"""
"11768,""d004"",""1991-04-25"",""9999-01-01"""
"11769,""d005"",""1999-04-18"",""9999-01-01"""
"11769,""d008"",""1993-10-22"",""1999-04-18"""
"11770,""d005"",""1992-11-29"",""9999-01-01"""
"11771,""d009"",""1988-11-22"",""1996-04-10"""
"11772,""d005"",""1999-11-07"",""9999-01-01"""
"11773,""d007"",""1990-05-29"",""9999-01-01"""
"11774,""d004"",""1998-11-26"",""9999-01-01"""
"11775,""d005"",""1988-11-15"",""9999-01-01"""
"11776,""d001"",""1986-11-05"",""1999-11-01"""
"11777,""d003"",""1994-06-21"",""9999-01-01"""
"11778,""d004"",""1992-12-28"",""9999-01-01"""
"11779,""d008"",""1996-11-21"",""9999-01-01"""
"11780,""d004"",""1999-11-10"",""9999-01-01"""
"11780,""d005"",""1987-09-11"",""1999-11-10"""
"11781,""d007"",""1997-12-04"",""9999-01-01"""
"11782,""d004"",""1991-02-01"",""9999-01-01"""
"11783,""d006"",""1994-07-14"",""9999-01-01"""
"11784,""d004"",""1995-12-07"",""1997-10-28"""
"11785,""d007"",""1995-07-03"",""9999-01-01"""
"11786,""d001"",""1996-02-28"",""9999-01-01"""
"11787,""d004"",""1990-01-10"",""9999-01-01"""
"11788,""d004"",""1986-10-03"",""1999-02-12"""
"11788,""d009"",""1999-02-12"",""9999-01-01"""
"11789,""d008"",""1989-08-18"",""9999-01-01"""
"11790,""d005"",""1988-03-09"",""9999-01-01"""
"11791,""d005"",""1994-11-15"",""9999-01-01"""
"11792,""d005"",""1987-05-29"",""9999-01-01"""
"11793,""d004"",""1996-06-06"",""2000-04-22"""
"11794,""d005"",""1992-09-04"",""9999-01-01"""
"11795,""d005"",""1992-03-24"",""9999-01-01"""
"11796,""d002"",""1989-01-23"",""9999-01-01"""
"11797,""d001"",""1996-09-28"",""9999-01-01"""
"11797,""d007"",""1988-08-30"",""1996-09-28"""
"11798,""d002"",""1987-12-10"",""9999-01-01"""
"11799,""d005"",""1996-03-06"",""9999-01-01"""
"11800,""d005"",""1990-08-08"",""1994-05-08"""
"11801,""d007"",""1992-06-12"",""9999-01-01"""
"11802,""d005"",""1988-04-12"",""9999-01-01"""
"11803,""d004"",""1997-09-25"",""9999-01-01"""
"11804,""d005"",""1986-09-16"",""9999-01-01"""
"11805,""d005"",""1985-09-01"",""1991-02-05"""
"11806,""d005"",""1996-04-02"",""9999-01-01"""
"11807,""d004"",""1992-07-11"",""1994-09-16"""
"11807,""d009"",""1994-09-16"",""9999-01-01"""
"11808,""d005"",""1986-05-17"",""9999-01-01"""
"11809,""d005"",""1987-03-02"",""9999-01-01"""
"11810,""d005"",""1992-01-05"",""9999-01-01"""
"11811,""d007"",""1992-03-28"",""9999-01-01"""
"11812,""d002"",""1987-09-30"",""9999-01-01"""
"11813,""d007"",""1987-03-16"",""1991-07-20"""
"11814,""d003"",""1996-06-09"",""1998-10-24"""
"11815,""d004"",""1986-04-12"",""1995-05-03"""
"11815,""d009"",""1995-05-03"",""9999-01-01"""
"11816,""d002"",""1991-08-05"",""9999-01-01"""
"11817,""d007"",""1986-04-12"",""9999-01-01"""
"11818,""d005"",""1987-08-14"",""9999-01-01"""
"11819,""d006"",""1987-07-07"",""9999-01-01"""
"11820,""d005"",""1993-06-20"",""9999-01-01"""
"11821,""d004"",""1995-12-13"",""2001-10-26"""
"11822,""d009"",""1996-07-07"",""9999-01-01"""
"11823,""d005"",""1995-10-23"",""1997-07-02"""
"11823,""d008"",""1997-07-02"",""9999-01-01"""
"11824,""d005"",""1993-10-09"",""9999-01-01"""
"11825,""d006"",""1987-05-02"",""9999-01-01"""
"11826,""d004"",""1988-07-06"",""9999-01-01"""
"11827,""d008"",""1995-07-13"",""2000-07-18"""
"11828,""d007"",""1985-06-12"",""9999-01-01"""
"11829,""d004"",""1999-10-11"",""9999-01-01"""
"11830,""d007"",""1986-07-15"",""1994-03-13"""
"11831,""d004"",""1993-07-18"",""1998-01-27"""
"11831,""d009"",""1998-01-27"",""9999-01-01"""
"11832,""d005"",""1996-02-04"",""9999-01-01"""
"11833,""d001"",""1999-07-15"",""9999-01-01"""
"11834,""d005"",""1995-02-05"",""9999-01-01"""
"11835,""d004"",""1992-01-15"",""9999-01-01"""
"11836,""d008"",""1989-07-28"",""9999-01-01"""
"11837,""d005"",""1990-06-15"",""9999-01-01"""
"11838,""d007"",""1986-07-11"",""1991-05-09"""
"11839,""d004"",""1990-12-14"",""9999-01-01"""
"11840,""d007"",""1986-12-21"",""9999-01-01"""
"11841,""d001"",""1996-04-02"",""1996-10-24"""
"11841,""d009"",""1996-10-24"",""9999-01-01"""
"11842,""d008"",""1991-12-11"",""9999-01-01"""
"11843,""d006"",""1998-02-20"",""9999-01-01"""
"11844,""d005"",""1988-01-27"",""9999-01-01"""
"11845,""d004"",""1991-07-23"",""9999-01-01"""
"11846,""d004"",""1994-06-22"",""9999-01-01"""
"11847,""d004"",""1996-01-13"",""1999-05-23"""
"11848,""d004"",""1996-12-01"",""9999-01-01"""
"11849,""d007"",""1991-08-27"",""9999-01-01"""
"11850,""d007"",""1991-02-10"",""9999-01-01"""
"11851,""d009"",""1992-03-31"",""9999-01-01"""
"11852,""d001"",""1994-03-07"",""1995-01-22"""
"11852,""d007"",""1995-01-22"",""9999-01-01"""
"11853,""d001"",""1988-11-17"",""9999-01-01"""
"11854,""d006"",""1992-06-30"",""2001-11-24"""
"11855,""d004"",""1992-07-20"",""9999-01-01"""
"11856,""d004"",""1989-05-23"",""9999-01-01"""
"11857,""d007"",""1986-08-27"",""9999-01-01"""
"11858,""d002"",""1996-08-15"",""9999-01-01"""
"11859,""d007"",""1998-07-28"",""9999-01-01"""
"11860,""d004"",""1992-12-04"",""2002-01-03"""
"11861,""d005"",""1990-05-28"",""9999-01-01"""
"11862,""d004"",""1993-01-20"",""2000-11-22"""
"11862,""d006"",""2000-11-22"",""9999-01-01"""
"11863,""d005"",""1988-12-16"",""9999-01-01"""
"11864,""d009"",""1995-11-02"",""9999-01-01"""
"11865,""d009"",""1998-02-07"",""1998-05-04"""
"11866,""d006"",""1993-11-12"",""9999-01-01"""
"11867,""d004"",""1996-12-05"",""9999-01-01"""
"11868,""d006"",""1995-04-03"",""9999-01-01"""
"11869,""d004"",""1996-08-12"",""9999-01-01"""
"11870,""d004"",""1990-12-01"",""1999-02-13"""
"11871,""d005"",""1993-10-13"",""9999-01-01"""
"11872,""d001"",""1994-02-12"",""9999-01-01"""
"11873,""d001"",""1998-11-14"",""2000-07-06"""
"11873,""d007"",""2000-07-06"",""9999-01-01"""
"11874,""d007"",""1996-06-10"",""9999-01-01"""
"11875,""d004"",""1992-07-25"",""9999-01-01"""
"11876,""d005"",""1991-06-08"",""9999-01-01"""
"11877,""d009"",""1995-09-17"",""1999-06-09"""
"11878,""d004"",""1990-03-20"",""9999-01-01"""
"11879,""d009"",""1987-12-10"",""2001-02-18"""
"11880,""d007"",""1993-01-31"",""9999-01-01"""
"11881,""d007"",""1990-04-08"",""9999-01-01"""
"11882,""d001"",""2001-01-05"",""9999-01-01"""
"11882,""d007"",""1991-09-18"",""2001-01-05"""
"11883,""d006"",""1988-04-16"",""1990-10-28"""
"11884,""d007"",""1998-06-18"",""9999-01-01"""
"11885,""d005"",""1997-01-12"",""9999-01-01"""
"11886,""d004"",""1994-10-02"",""9999-01-01"""
"11887,""d005"",""1998-03-31"",""9999-01-01"""
"11888,""d001"",""1994-11-28"",""9999-01-01"""
"11889,""d005"",""1996-12-25"",""9999-01-01"""
"11890,""d007"",""1990-02-09"",""9999-01-01"""
"11891,""d005"",""1995-02-04"",""2001-01-06"""
"11892,""d007"",""1994-11-26"",""9999-01-01"""
"11893,""d004"",""2001-05-07"",""9999-01-01"""
"11893,""d005"",""1999-10-02"",""2001-05-07"""
"11894,""d005"",""1988-06-22"",""9999-01-01"""
"11895,""d005"",""1990-01-29"",""1998-02-10"""
"11896,""d004"",""1990-07-04"",""9999-01-01"""
"11897,""d007"",""1988-06-16"",""9999-01-01"""
"11898,""d004"",""1996-12-01"",""9999-01-01"""
"11899,""d004"",""1996-01-19"",""9999-01-01"""
"11900,""d004"",""1990-05-26"",""9999-01-01"""
"11901,""d001"",""1992-08-01"",""9999-01-01"""
"11902,""d004"",""1996-09-22"",""1999-09-06"""
"11903,""d004"",""1990-12-09"",""9999-01-01"""
"11904,""d001"",""1998-05-12"",""9999-01-01"""
"11904,""d007"",""1997-02-10"",""1998-05-12"""
"11905,""d003"",""1989-05-12"",""9999-01-01"""
"11906,""d005"",""1999-02-07"",""9999-01-01"""
"11907,""d003"",""1992-02-27"",""9999-01-01"""
"11908,""d007"",""1985-10-16"",""9999-01-01"""
"11909,""d009"",""1994-02-21"",""9999-01-01"""
"11910,""d005"",""1992-09-12"",""2002-07-09"""
"11911,""d005"",""1990-06-05"",""9999-01-01"""
"11912,""d004"",""1994-10-06"",""9999-01-01"""
"11912,""d005"",""1985-11-13"",""1994-10-06"""
"11913,""d005"",""1985-08-17"",""1987-09-04"""
"11914,""d006"",""1988-06-02"",""9999-01-01"""
"11915,""d004"",""1992-06-28"",""9999-01-01"""
"11916,""d002"",""1988-07-22"",""1989-09-13"""
"11917,""d004"",""1997-03-08"",""9999-01-01"""
"11918,""d003"",""1987-03-19"",""9999-01-01"""
"11919,""d004"",""1990-10-28"",""9999-01-01"""
"11920,""d005"",""1985-12-24"",""1996-03-29"""
"11920,""d008"",""1996-03-29"",""9999-01-01"""
"11921,""d004"",""1986-03-04"",""9999-01-01"""
"11922,""d006"",""1985-11-01"",""1992-12-19"""
"11923,""d002"",""1994-09-28"",""9999-01-01"""
"11924,""d004"",""1997-01-09"",""9999-01-01"""
"11925,""d001"",""1998-10-25"",""9999-01-01"""
"11926,""d004"",""1998-09-18"",""9999-01-01"""
"11927,""d007"",""1986-04-26"",""9999-01-01"""
"11928,""d004"",""2000-05-28"",""9999-01-01"""
"11928,""d005"",""1995-10-19"",""2000-05-28"""
"11929,""d005"",""1989-04-12"",""9999-01-01"""
"11930,""d004"",""1991-01-14"",""1992-01-11"""
"11931,""d008"",""1991-01-13"",""9999-01-01"""
"11932,""d004"",""1990-08-04"",""1995-10-29"""
"11933,""d005"",""1987-06-13"",""9999-01-01"""
"11934,""d005"",""1994-03-09"",""9999-01-01"""
"11935,""d001"",""1997-07-20"",""2000-08-22"""
"11936,""d007"",""1994-11-21"",""9999-01-01"""
"11937,""d002"",""1996-04-19"",""9999-01-01"""
"11938,""d004"",""2001-10-19"",""9999-01-01"""
"11938,""d009"",""1994-07-15"",""2001-10-19"""
"11939,""d004"",""1992-08-14"",""1993-10-29"""
"11940,""d005"",""1996-11-02"",""9999-01-01"""
"11941,""d007"",""1986-01-31"",""1994-07-27"""
"11942,""d004"",""1985-04-06"",""9999-01-01"""
"11943,""d005"",""1992-01-26"",""9999-01-01"""
"11944,""d006"",""1994-12-01"",""9999-01-01"""
"11945,""d003"",""1994-01-21"",""9999-01-01"""
"11946,""d007"",""1998-08-24"",""9999-01-01"""
"11947,""d007"",""1995-10-24"",""9999-01-01"""
"11948,""d004"",""1995-05-10"",""2001-01-25"""
"11948,""d009"",""2001-01-25"",""9999-01-01"""
"11949,""d004"",""1985-03-11"",""9999-01-01"""
"11950,""d005"",""1987-10-23"",""2002-06-25"""
"11951,""d005"",""1989-10-14"",""9999-01-01"""
"11952,""d004"",""1995-12-19"",""9999-01-01"""
"11953,""d001"",""1996-03-21"",""9999-01-01"""
"11954,""d005"",""1997-05-08"",""9999-01-01"""
"11955,""d005"",""1995-04-25"",""9999-01-01"""
"11956,""d002"",""1991-08-15"",""9999-01-01"""
"11957,""d005"",""1994-06-17"",""9999-01-01"""
"11957,""d006"",""1992-04-02"",""1994-06-17"""
"11958,""d002"",""1991-10-13"",""9999-01-01"""
"11959,""d005"",""1996-07-28"",""2002-05-06"""
"11960,""d008"",""1988-07-28"",""9999-01-01"""
"11961,""d007"",""1997-06-26"",""9999-01-01"""
"11962,""d007"",""1988-10-30"",""9999-01-01"""
"11963,""d004"",""1989-09-17"",""1997-11-19"""
"11964,""d007"",""1998-03-19"",""1999-06-13"""
"11965,""d004"",""1993-10-07"",""9999-01-01"""
"11966,""d007"",""1987-01-20"",""9999-01-01"""
"11967,""d002"",""1999-10-02"",""9999-01-01"""
"11967,""d003"",""1997-08-23"",""1999-10-02"""
"11968,""d005"",""1995-08-08"",""9999-01-01"""
"11969,""d007"",""1998-04-15"",""9999-01-01"""
"11970,""d005"",""1993-02-28"",""1994-09-13"""
"11971,""d004"",""1987-11-11"",""9999-01-01"""
"11972,""d001"",""1994-04-25"",""9999-01-01"""
"11973,""d009"",""1989-04-13"",""9999-01-01"""
"11974,""d002"",""1989-07-23"",""9999-01-01"""
"11975,""d005"",""1991-03-24"",""9999-01-01"""
"11976,""d004"",""1986-10-08"",""9999-01-01"""
"11977,""d004"",""1991-10-18"",""9999-01-01"""
"11977,""d009"",""1991-06-14"",""1991-10-18"""
"11978,""d005"",""1991-06-25"",""1994-04-25"""
"11979,""d003"",""1998-06-07"",""9999-01-01"""
"11980,""d007"",""1998-02-18"",""9999-01-01"""
"11981,""d005"",""1990-09-14"",""9999-01-01"""
"11982,""d004"",""1985-12-17"",""9999-01-01"""
"11983,""d005"",""1986-10-11"",""9999-01-01"""
"11984,""d005"",""1997-05-22"",""9999-01-01"""
"11985,""d004"",""1985-12-18"",""9999-01-01"""
"11986,""d009"",""1991-08-06"",""9999-01-01"""
"11987,""d004"",""1993-09-14"",""1997-12-04"""
"11987,""d009"",""1988-10-17"",""1993-09-14"""
"11988,""d005"",""1985-11-03"",""2001-12-31"""
"11989,""d004"",""1989-01-07"",""9999-01-01"""
"11990,""d005"",""1988-09-05"",""9999-01-01"""
"11991,""d008"",""1985-09-29"",""9999-01-01"""
"11992,""d004"",""1991-09-22"",""9999-01-01"""
"11993,""d003"",""1996-10-22"",""9999-01-01"""
"11994,""d001"",""1993-11-11"",""9999-01-01"""
"11995,""d002"",""1998-01-19"",""2002-06-19"""
"11996,""d005"",""1994-01-21"",""9999-01-01"""
"11997,""d003"",""1999-02-21"",""1999-08-06"""
"11998,""d004"",""1998-09-20"",""9999-01-01"""
"11998,""d005"",""1991-12-16"",""1998-09-20"""
"11999,""d004"",""1996-07-21"",""2002-03-16"""
"12000,""d004"",""1989-12-11"",""9999-01-01"""
"12001,""d002"",""1993-06-28"",""9999-01-01"""
"12002,""d008"",""1994-10-14"",""1997-09-26"""
"12003,""d001"",""1992-11-20"",""9999-01-01"""
"12004,""d005"",""1997-01-11"",""9999-01-01"""
"12005,""d004"",""1997-06-28"",""9999-01-01"""
"12006,""d005"",""1998-05-08"",""9999-01-01"""
"12007,""d005"",""1989-05-17"",""9999-01-01"""
"12008,""d004"",""1991-08-07"",""1992-07-01"""
"12008,""d006"",""1992-07-01"",""1993-03-24"""
"12009,""d005"",""1998-09-22"",""9999-01-01"""
"12010,""d004"",""1989-09-02"",""9999-01-01"""
"12011,""d007"",""1988-07-22"",""9999-01-01"""
"12012,""d007"",""1993-01-14"",""9999-01-01"""
"12013,""d007"",""1990-08-06"",""9999-01-01"""
"12014,""d006"",""1988-10-11"",""9999-01-01"""
"12015,""d008"",""1999-11-16"",""9999-01-01"""
"12016,""d005"",""1997-02-18"",""9999-01-01"""
"12017,""d004"",""1992-06-21"",""1998-12-03"""
"12018,""d004"",""2001-07-15"",""9999-01-01"""
"12018,""d005"",""1999-04-25"",""2001-07-15"""
"12019,""d008"",""1986-02-17"",""9999-01-01"""
"12020,""d002"",""1988-08-09"",""9999-01-01"""
"12021,""d004"",""1991-09-30"",""9999-01-01"""
"12022,""d008"",""1998-01-18"",""9999-01-01"""
"12023,""d006"",""1994-12-08"",""9999-01-01"""
"12024,""d003"",""1997-11-03"",""9999-01-01"""
"12025,""d001"",""1985-02-28"",""1990-06-09"""
"12026,""d007"",""1999-07-06"",""9999-01-01"""
"12027,""d005"",""1985-11-23"",""1992-01-05"""
"12027,""d008"",""1992-01-05"",""9999-01-01"""
"12028,""d005"",""1992-09-02"",""9999-01-01"""
"12029,""d004"",""1986-07-10"",""9999-01-01"""
"12030,""d003"",""1996-06-24"",""9999-01-01"""
"12031,""d006"",""1987-02-10"",""9999-01-01"""
"12032,""d005"",""1988-03-23"",""9999-01-01"""
"12033,""d005"",""1997-11-30"",""1999-02-07"""
"12034,""d007"",""1995-11-22"",""9999-01-01"""
"12035,""d009"",""1995-06-18"",""9999-01-01"""
"12036,""d001"",""1986-09-05"",""1995-07-01"""
"12036,""d007"",""1995-07-01"",""9999-01-01"""
"12037,""d009"",""1986-10-01"",""9999-01-01"""
"12038,""d005"",""1987-01-09"",""9999-01-01"""
"12039,""d009"",""1988-04-04"",""9999-01-01"""
"12040,""d001"",""1998-09-28"",""9999-01-01"""
"12041,""d006"",""1991-01-23"",""9999-01-01"""
"12042,""d005"",""1995-05-19"",""1996-07-31"""
"12043,""d008"",""2000-01-05"",""9999-01-01"""
"12044,""d004"",""1990-04-19"",""9999-01-01"""
"12045,""d005"",""1991-03-03"",""9999-01-01"""
"12046,""d001"",""1996-03-12"",""1998-09-26"""
"12046,""d007"",""1996-01-13"",""1996-03-12"""
"12047,""d006"",""1996-08-23"",""9999-01-01"""
"12048,""d004"",""1985-05-25"",""9999-01-01"""
"12049,""d004"",""1996-03-14"",""9999-01-01"""
"12050,""d004"",""1989-04-01"",""9999-01-01"""
"12051,""d004"",""1985-09-28"",""9999-01-01"""
"12052,""d005"",""1986-04-07"",""1988-08-29"""
"12053,""d004"",""1989-11-12"",""9999-01-01"""
"12054,""d007"",""1999-08-06"",""9999-01-01"""
"12055,""d002"",""1990-06-22"",""1995-06-16"""
"12056,""d005"",""1986-07-31"",""1988-06-02"""
"12056,""d008"",""1988-06-02"",""9999-01-01"""
"12057,""d001"",""1990-09-22"",""9999-01-01"""
"12058,""d005"",""1991-08-06"",""9999-01-01"""
"12059,""d004"",""1991-05-23"",""2000-10-25"""
"12060,""d006"",""1996-06-21"",""9999-01-01"""
"12061,""d001"",""1988-04-14"",""9999-01-01"""
"12062,""d003"",""1996-01-04"",""9999-01-01"""
"12063,""d004"",""1994-07-24"",""9999-01-01"""
"12064,""d004"",""1986-03-14"",""9999-01-01"""
"12065,""d004"",""1987-06-18"",""9999-01-01"""
"12066,""d002"",""1985-09-20"",""9999-01-01"""
"12067,""d007"",""1986-06-24"",""1991-12-17"""
"12067,""d009"",""1991-12-17"",""9999-01-01"""
"12068,""d004"",""1990-05-12"",""1991-02-22"""
"12069,""d005"",""1985-05-13"",""9999-01-01"""
"12070,""d005"",""1988-11-14"",""9999-01-01"""
"12071,""d005"",""1990-09-17"",""9999-01-01"""
"12072,""d006"",""1990-12-17"",""9999-01-01"""
"12073,""d004"",""1990-11-10"",""9999-01-01"""
"12074,""d005"",""1994-09-07"",""9999-01-01"""
"12075,""d005"",""1993-07-30"",""9999-01-01"""
"12076,""d007"",""1985-03-25"",""9999-01-01"""
"12077,""d004"",""1995-08-31"",""2000-08-18"""
"12077,""d005"",""1994-01-30"",""1995-08-31"""
"12078,""d004"",""1993-11-14"",""9999-01-01"""
"12079,""d008"",""1985-12-09"",""9999-01-01"""
"12080,""d007"",""1993-05-17"",""9999-01-01"""
"12081,""d001"",""1999-12-04"",""9999-01-01"""
"12082,""d007"",""1986-01-29"",""9999-01-01"""
"12083,""d002"",""1990-10-16"",""9999-01-01"""
"12084,""d005"",""1997-01-01"",""9999-01-01"""
"12085,""d009"",""1986-07-03"",""9999-01-01"""
"12086,""d005"",""1991-03-21"",""2001-05-28"""
"12087,""d005"",""1986-08-16"",""1993-03-24"""
"12088,""d002"",""1990-10-20"",""1995-05-08"""
"12088,""d003"",""1995-05-08"",""1996-06-14"""
"12089,""d003"",""1986-10-22"",""9999-01-01"""
"12090,""d004"",""1999-10-03"",""9999-01-01"""
"12091,""d006"",""1989-03-21"",""9999-01-01"""
"12092,""d008"",""1998-08-08"",""9999-01-01"""
"12093,""d005"",""1994-01-19"",""9999-01-01"""
"12094,""d009"",""1989-04-27"",""9999-01-01"""
"12095,""d004"",""1990-04-04"",""2001-11-07"""
"12096,""d002"",""1994-08-17"",""9999-01-01"""
"12097,""d007"",""1993-09-07"",""9999-01-01"""
"12098,""d001"",""2002-07-04"",""9999-01-01"""
"12098,""d007"",""1991-01-21"",""2002-07-04"""
"12099,""d007"",""1994-02-15"",""9999-01-01"""
"12100,""d007"",""1986-11-24"",""9999-01-01"""
"12101,""d005"",""1997-09-02"",""9999-01-01"""
"12102,""d007"",""1994-02-17"",""9999-01-01"""
"12103,""d009"",""1990-04-23"",""1992-09-18"""
"12104,""d004"",""1997-06-12"",""2002-02-08"""
"12105,""d008"",""1999-06-21"",""9999-01-01"""
"12106,""d004"",""1996-04-30"",""9999-01-01"""
"12106,""d008"",""1995-10-24"",""1996-04-30"""
"12107,""d005"",""1997-01-27"",""9999-01-01"""
"12108,""d005"",""1992-12-13"",""9999-01-01"""
"12109,""d005"",""1996-01-20"",""9999-01-01"""
"12110,""d004"",""1997-04-12"",""2002-05-22"""
"12111,""d008"",""1993-06-13"",""9999-01-01"""
"12112,""d002"",""1989-09-26"",""9999-01-01"""
"12113,""d007"",""1991-05-21"",""1991-07-15"""
"12114,""d008"",""1997-02-04"",""9999-01-01"""
"12115,""d005"",""1985-03-19"",""9999-01-01"""
"12116,""d005"",""1994-01-11"",""9999-01-01"""
"12117,""d005"",""1999-12-02"",""2002-06-23"""
"12117,""d006"",""1999-02-01"",""1999-12-02"""
"12118,""d001"",""1994-12-03"",""9999-01-01"""
"12119,""d007"",""1992-02-06"",""1997-06-02"""
"12120,""d002"",""1986-06-20"",""9999-01-01"""
"12121,""d006"",""1990-06-04"",""9999-01-01"""
"12122,""d004"",""1987-07-24"",""9999-01-01"""
"12123,""d008"",""1987-07-18"",""9999-01-01"""
"12124,""d008"",""1989-07-14"",""9999-01-01"""
"12125,""d004"",""1999-09-01"",""9999-01-01"""
"12125,""d005"",""1997-03-31"",""1999-09-01"""
"12126,""d004"",""1992-12-01"",""9999-01-01"""
"12127,""d001"",""1989-01-22"",""9999-01-01"""
"12128,""d007"",""1997-08-16"",""1998-11-25"""
"12129,""d007"",""1993-05-10"",""9999-01-01"""
"12130,""d001"",""1989-10-23"",""9999-01-01"""
"12131,""d004"",""1986-10-11"",""9999-01-01"""
"12132,""d004"",""1996-11-09"",""9999-01-01"""
"12133,""d001"",""1991-07-20"",""1993-03-03"""
"12134,""d004"",""1999-05-21"",""9999-01-01"""
"12134,""d009"",""1987-10-01"",""1999-05-21"""
"12135,""d009"",""1994-09-18"",""1995-06-03"""
"12136,""d006"",""1985-08-02"",""9999-01-01"""
"12137,""d004"",""1992-09-05"",""9999-01-01"""
"12138,""d004"",""1996-02-23"",""9999-01-01"""
"12139,""d004"",""1994-03-07"",""9999-01-01"""
"12140,""d003"",""1996-11-15"",""9999-01-01"""
"12141,""d002"",""1992-04-19"",""1999-10-29"""
"12142,""d006"",""1991-04-23"",""9999-01-01"""
"12143,""d004"",""1996-01-06"",""2000-10-02"""
"12143,""d006"",""2000-10-02"",""9999-01-01"""
"12144,""d008"",""1990-10-21"",""1995-02-15"""
"12145,""d009"",""1999-09-11"",""9999-01-01"""
"12146,""d007"",""1987-08-26"",""9999-01-01"""
"12147,""d004"",""1988-06-24"",""9999-01-01"""
"12148,""d004"",""1997-06-24"",""1997-11-21"""
"12149,""d007"",""1988-10-01"",""9999-01-01"""
"12150,""d004"",""1991-06-25"",""9999-01-01"""
"12151,""d001"",""1990-04-16"",""9999-01-01"""
"12152,""d001"",""1996-04-08"",""2000-08-16"""
"12152,""d009"",""2000-08-16"",""9999-01-01"""
"12153,""d004"",""1999-09-03"",""9999-01-01"""
"12154,""d004"",""1986-05-24"",""9999-01-01"""
"12155,""d004"",""1993-09-16"",""9999-01-01"""
"12156,""d008"",""1997-06-02"",""1997-08-11"""
"12157,""d003"",""1985-06-04"",""9999-01-01"""
"12158,""d004"",""1999-02-17"",""9999-01-01"""
"12159,""d005"",""1985-07-17"",""9999-01-01"""
"12160,""d007"",""1989-09-19"",""9999-01-01"""
"12161,""d003"",""1996-09-25"",""9999-01-01"""
"12162,""d004"",""2001-08-19"",""9999-01-01"""
"12162,""d006"",""1993-04-23"",""2001-08-19"""
"12163,""d005"",""1989-08-18"",""1994-01-02"""
"12164,""d005"",""1996-05-14"",""9999-01-01"""
"12165,""d005"",""1994-08-29"",""9999-01-01"""
"12166,""d006"",""1990-11-30"",""1993-04-14"""
"12167,""d009"",""1992-10-15"",""9999-01-01"""
"12168,""d009"",""1996-06-21"",""9999-01-01"""
"12169,""d003"",""1994-11-29"",""9999-01-01"""
"12170,""d001"",""2000-05-04"",""9999-01-01"""
"12170,""d003"",""1997-12-21"",""2000-05-04"""
"12171,""d001"",""1997-01-12"",""9999-01-01"""
"12172,""d003"",""1990-12-08"",""9999-01-01"""
"12173,""d004"",""1998-09-20"",""2000-05-20"""
"12174,""d005"",""1996-01-09"",""9999-01-01"""
"12175,""d001"",""1994-09-01"",""9999-01-01"""
"12176,""d005"",""1994-07-05"",""9999-01-01"""
"12177,""d005"",""1990-07-07"",""9999-01-01"""
"12178,""d001"",""1998-12-30"",""9999-01-01"""
"12178,""d007"",""1995-04-26"",""1998-12-30"""
"12179,""d005"",""1994-02-12"",""9999-01-01"""
"12180,""d005"",""1990-02-05"",""9999-01-01"""
"12181,""d001"",""1988-06-12"",""1994-04-06"""
"12182,""d002"",""1993-10-27"",""9999-01-01"""
"12183,""d006"",""1998-04-04"",""9999-01-01"""
"12184,""d007"",""1987-01-11"",""9999-01-01"""
"12185,""d004"",""1994-10-23"",""9999-01-01"""
"12186,""d009"",""1993-01-24"",""9999-01-01"""
"12187,""d001"",""1998-09-22"",""9999-01-01"""
"12188,""d004"",""1997-03-20"",""1998-10-15"""
"12188,""d009"",""1998-10-15"",""9999-01-01"""
"12189,""d007"",""1994-04-29"",""2001-08-10"""
"12190,""d005"",""1997-12-13"",""9999-01-01"""
"12191,""d004"",""1998-11-22"",""9999-01-01"""
"12192,""d006"",""1986-09-02"",""9999-01-01"""
"12193,""d003"",""1989-08-10"",""9999-01-01"""
"12194,""d005"",""1997-05-15"",""9999-01-01"""
"12195,""d005"",""1995-02-09"",""9999-01-01"""
"12196,""d004"",""1999-08-22"",""9999-01-01"""
"12197,""d004"",""1999-06-21"",""1999-07-16"""
"12197,""d006"",""1999-07-16"",""1999-07-17"""
"12198,""d005"",""1986-05-04"",""9999-01-01"""
"12199,""d007"",""1985-06-22"",""9999-01-01"""
"12200,""d004"",""1999-03-08"",""9999-01-01"""
"12201,""d004"",""1992-03-20"",""9999-01-01"""
"12202,""d009"",""1997-12-21"",""9999-01-01"""
"12203,""d004"",""1987-07-21"",""1990-07-31"""
"12204,""d003"",""1995-07-25"",""9999-01-01"""
"12205,""d005"",""1987-11-11"",""9999-01-01"""
"12206,""d005"",""1985-03-27"",""9999-01-01"""
"12207,""d009"",""1986-06-08"",""9999-01-01"""
"12208,""d005"",""2000-08-24"",""9999-01-01"""
"12208,""d008"",""1993-02-06"",""2000-08-24"""
"12209,""d002"",""1989-12-15"",""9999-01-01"""
"12210,""d008"",""1992-11-08"",""9999-01-01"""
"12211,""d003"",""1986-12-26"",""9999-01-01"""
"12212,""d004"",""1986-08-24"",""1991-01-05"""
"12213,""d007"",""1994-11-01"",""9999-01-01"""
